"id","created_at","updated_at","name","reference","nationality","wiki_url"
163,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Milano","milano","Italian","http://en.wikipedia.org/wiki/Scuderia_Milano"
164,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","HRT","hrt","Spanish","http://en.wikipedia.org/wiki/Hispania_Racing"
167,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-Maserati","cooper-maserati","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
166,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Virgin","virgin","British","http://en.wikipedia.org/wiki/Virgin_Racing"
168,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-OSCA","cooper-osca","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
169,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-Borgward","cooper-borgward","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
170,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-Climax","cooper-climax","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
171,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-Castellotti","cooper-castellotti","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
172,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lotus-Climax","lotus-climax","British","http://en.wikipedia.org/wiki/Team_Lotus"
173,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lotus-Maserati","lotus-maserati","British","http://en.wikipedia.org/wiki/Team_Lotus"
174,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","De Tomaso-Osca","de_tomaso-osca","Italian","http://en.wikipedia.org/wiki/De_Tomaso"
175,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","De Tomaso-Alfa Romeo","de_tomaso-alfa_romeo","Italian","http://en.wikipedia.org/wiki/De_Tomaso"
176,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lotus-BRM","lotus-brm","British","http://en.wikipedia.org/wiki/Team_Lotus"
177,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lotus-Borgward","lotus-borgward","British","http://en.wikipedia.org/wiki/Team_Lotus"
178,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-Alfa Romeo","cooper-alfa_romeo","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
179,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","De Tomaso-Ferrari","de_tomaso-ferrari","Italian","http://en.wikipedia.org/wiki/De_Tomaso"
180,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lotus-Ford","lotus-ford","British","http://en.wikipedia.org/wiki/Team_Lotus"
181,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Brabham-BRM","brabham-brm","British","http://en.wikipedia.org/wiki/Brabham"
182,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Brabham-Ford","brabham-ford","British","http://en.wikipedia.org/wiki/Brabham"
183,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Brabham-Climax","brabham-climax","British","http://en.wikipedia.org/wiki/Brabham"
184,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","LDS-Climax","lds-climax","South African","http://en.wikipedia.org/wiki/LDS_(automobile)"
185,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","LDS-Alfa Romeo","lds-alfa_romeo","South African","http://en.wikipedia.org/wiki/LDS_(automobile)"
186,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper-Ford","cooper-ford","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
